# gc_unmapped_store_baseline.tsv -- the PER-WITNESS ratchet of the unmapped-store class (cto, row
# gc-the-planner-gives-a-call-result-live-across-a-safe-point-...).  Written by
# `util_gc_unmapped_store_census.py <witnesses> --write-baseline <this file>` in the landing that earns a move.
# ONE LINE PER WITNESS AND NEVER A TOTAL, on hq_snobol4's measurement of 2026-09-20: the population is a
# directory glob, so nine witnesses arriving would move a total from 162 to 192 and the arm would print THE
# CLASS GREW and name a compiler regression it never measured.  A witness ARRIVING is a file addition; a
# witness's own numbers MOVING is the thing this row exists to catch, and only a name set can tell them apart.
# THE FIFTH COLUMN IS THIS CENSUS'S OWN REACH (cto 2026-09-20): stores shielded at a safe point into a
# FIXED SYMBOL rather than into the frame.  It is ratcheted because shielding MOVING from the graded road
# to the unread one is a loss of coverage that every other number here reads as an improvement.
# witness	members	undecidable	shielded	unread_static
# RE-CUT 2026-09-24 cto, SCRIP this landing (the seventeen-red row, class B): 56 rows MOVED with shielded and unread_static UP everywhere and members unchanged -- since af1d0e856 every C call from emitted code writes r8/r10/r11 into the fixed symbol rtccb around the call (the RTX ABI's writebacks), which this census counts as stores shielded into a fixed symbol; the five polls landed the same day add record stores below the swept floor. Neither is a store that lost its map (members=0 on every moved row before and after). Four witness rows are NEW (hb_match_enter_subject_polled, hb_defer_close_after_a_deferred_capture_polled, hb_match_value_close_polled, hb_size_result_polled), the reach witnesses of the five polls; the population is the gate's own (icn, sno, pl, raku).
hb_aggt.icn	0	0	22	63
hb_aggv.icn	0	0	16	51
hb_apply_opens_and_lands.sno	8	4	12	33
hb_arbno_deferred_name.sno	46	4	50	81
hb_arena_grow.sno	68	0	68	117
hb_arr.sno	36	0	36	63
hb_big_in_aggregate.icn	0	0	68	174
hb_bignum_length.icn	0	0	430	1497
hb_blob_span_defer.sno	30	6	36	69
hb_coexpr_create.icn	0	8	32	123
hb_coexpr_genp_scan.icn	8	36	50	141
hb_coexpr_parked.icn	0	10	16	93
hb_coexpr_refresh.icn	2	6	18	93
hb_coexpr_sigma.icn	4	4	36	147
hb_concat_augmented_then_subscript.icn	0	0	32	72
hb_cv_spine_plain_redo.icn	0	0	30	162
hb_datblk.sno	58	0	58	96
hb_defer_close_after_a_deferred_capture_polled.sno	14	0	14	27
hb_defer_subject.sno	16	8	24	51
hb_deferexpr_a_dupl.sno	8	0	8	15
hb_deferexpr_a_replace.sno	8	0	8	15
hb_deferexpr_a_substr.sno	8	0	8	15
hb_deferexpr_a_trim.sno	8	0	8	15
hb_deferexpr_d_dupl.sno	8	4	12	21
hb_deferexpr_d_replace.sno	8	4	12	21
hb_deferexpr_d_substr.sno	8	4	12	21
hb_deferexpr_d_trim.sno	8	4	12	21
hb_deferexpr_nodefer.sno	20	0	20	33
hb_dinst.icn	0	0	10	45
hb_dtp.sno	36	0	36	66
hb_dvec_data_convert.sno	104	0	104	177
hb_dvec_list.icn	0	0	210	441
hb_dvec_list_slice.icn	0	0	118	270
hb_dvec_sort_match.sno	152	18	170	288
hb_errtext_eval_capture.sno	12	0	12	21
hb_errtext_keyword.sno	6	0	6	12
hb_eval_chain_shim_saves_sigma.sno	42	0	42	72
hb_eval_names.sno	34	6	40	75
hb_file_name_unrooted.icn	0	0	10	54
hb_frame_map_anchor_recursive_marklists_mode4.icn	4	0	452	1029
hb_kw_cset_index_across_a_collection.icn	0	0	20	75
hb_match_enter_subject_polled.sno	8	0	8	15
hb_match_value_close_polled.sno	4	8	12	33
hb_mkexpr_unmapped_spine_store.sno	18	2	20	33
hb_nested_match_outer_subject.sno	20	20	40	75
hb_nv.sno	48	0	48	87
hb_pl_findall.pl	0	218	628	1170
hb_pl_root_cells.pl	0	192	672	1257
hb_pldb.pl	0	132	536	1005
hb_plj_batch_b.pl	0	190	590	1086
hb_procval_in_aggregate.icn	0	0	60	183
hb_reloc_gaps_on_a_mostly_live_heap.pl	0	92	512	960
hb_scan_nested.icn	0	0	20	72
hb_scan_subject_across_a_failing_callee.icn	4	0	14	63
hb_scan_subject_across_allocating_poll.icn	0	0	40	114
hb_scan_subject_embedded_nul_across_a_collection.icn	6	0	24	84
hb_scan_suspend_bank_across_a_collection.icn	0	6	40	123
hb_sibling_frames_leave_no_dead_map_cell.icn	6	0	124	1557
hb_size_result_polled.icn	0	0	6	21
hb_table_dump_every_key_ref.icn	0	0	186	564
hb_table_elem_ref_across_collections.icn	0	0	54	144
hb_trace_wildcard_registry_root.icn	0	0	6	30
hb_ws.icn	0	0	10	39
hb_wsb.icn	0	0	16	45
hb_wsb_bignum.icn	0	0	24	75
hb_wsb_eval_define.sno	40	12	52	87
hb_wsb_pl_atom_dup.pl	0	132	534	978
hb_wsb_raku_junction.raku	0	0	6	72
hb_wsb_raku_sprintf_multi.raku	0	0	4	78
hb_wsb_rk_arr.raku	2	0	2	63
hb_wsb_rk_gram_parse.raku	0	0	0	18
hb_wsb_rk_iter_grep.raku	0	0	2	54
hb_wsb_rk_iter_map.raku	0	0	2	54
