# coercion_surface_sites.tsv -- THE DECLARED COERCION SURFACE (hq_T, ceo CEO-662, 2026-09-13).
#
# WHY THIS FILE EXISTS. A new descriptor tag owes an arm in every function that switches on a descriptor's
# tag, and before this census nobody could say what that set IS. The DT_BOOL tag (CEO-654) leaked three
# times in a row -- to_real, to_cstring, then is_numeric_like/to_int_slow/rt_concat_parts_d -- and each leak
# was found the same way: by watching a program that worked yesterday stop working. Three asks in a row is
# the finding, not the arms (CEO-662). This file turns "the tag leaks and I find out later" into a census.
#
# ⛔ IT IS A DATA FILE ON PURPOSE, NOT A GREP. util_coercion_surface_census.py DISCOVERS every
# `switch (x.v)` / `switch (x->v)` under src/runtime and src/driver and REDS on any site not listed here --
# so the list cannot quietly fall behind the tree -- but WHICH TAGS a site owes is a human judgement that a
# grep cannot make, and it is recorded here where a reviewer can disagree with it.
#
# COLUMNS:  file <TAB> function <TAB> tags_required <TAB> why
#   tags_required is a comma-separated list of DT_* names that MUST appear inside that function's body.
#   `-` means the site is declared as covered-by-inspection and owes no specific tag (it is enumerated so
#   the discovery arm stays silent, and the `why` says who decided that and on what ground).
#
# ⭐ WHAT THIS CENSUS DOES NOT CLAIM. It proves a tag is MENTIONED in a site, never that the arm is correct.
# Correctness is the oracle's job. This is the cheap half that was missing entirely.
#
# ⛔ A SITE WHERE A BOOL MUST COERCE DIFFERENTLY FROM ITS 1/0 INTEGER VALUE IS AN ASK, NOT AN ARM
# (CEO-662's one standing exception). Such sites carry OPEN-ASK in the `why` column and no DT_BOOL in
# tags_required, so the census stays green while the question is with the ceo rather than silently answered.
#
file	function	tags_required	why
src/runtime/core/core.c	to_real	DT_BOOL	numeric coercion; a Bool contributes its 1/0 integer value (ceo CEO-656)
src/runtime/core/core.c	to_int_slow	DT_BOOL	integer twin of to_real; same 1/0 value (ceo CEO-662)
src/runtime/core/core.c	c_VARVAL_fn	DT_BOOL	THE descriptor->string coercion; renders True/False, the same rendering CEO-656 ruled for to_cstring and CEO-662 for rt_concat_parts_d
src/runtime/core/core.c	datatype	DT_BOOL	the type-name table; answers BOOL
src/runtime/core/core.c	trace_spell_value	DT_BOOL@VARVAL_fn	the tracer spells a value for a trace line; its default arm hands the value to VARVAL_fn, so it is correct BY DELEGATION and owes no arm of its own -- declared as a delegation rather than given a redundant case
src/runtime/core/core.c	_VDIFFER_	DT_BOOL	DIFFER compares by value; a Bool differs from a value exactly as its 1/0 does
src/runtime/pattern_match.c	rt_concat_parts_d	DT_BOOL	concatenation renders True/False (ceo CEO-662)
src/runtime/pattern_match.c	_sort_type_rank	DT_BOOL	sort orders by type rank first; an unranked tag sorts arbitrarily against every other
src/runtime/by_name_dispatch.c	to_cstring	DT_BOOL	method-dispatch string coercion; renders True/False (ceo CEO-656)
src/runtime/by_name_dispatch.c	rt_mc_type_name	DT_BOOL	the name method dispatch reports for a receiver; answers Bool
src/runtime/string_builtins.c	ident	DT_BOOL	IDENT compares by value; a Bool is identical exactly as its 1/0 is
src/runtime/aggregates.c	tbl_key_str	-	OPEN-ASK (hq_T -> ceo, 2026-09-13): a Bool used as a TABLE KEY is CEO-662's standing exception -- "True" and "1" are different keys in Raku and the same key under a 1/0 coercion, and the three table sites must agree with each other whichever way it is ruled
src/runtime/aggregates.c	_tbl_hval	-	OPEN-ASK: the hash half of the same question; it must hash whatever tbl_key_str keys on, so it is ruled with it, never separately
src/runtime/aggregates.c	_tbl_eq_d	-	OPEN-ASK: the equality half of the same question; same ruling, same reason
src/runtime/core/coerce.c	descr_to_str	DT_BOOL	the IF-CHAIN descriptor->string coercion, and the one the `~` operator actually reaches (str_concat_d -> descr_to_str). It fell to FAILDESCR, which is why "x" ~ $bool rendered as "x": THE SITE THE SWITCH-ONLY DISCOVERY MISSED
src/runtime/core/argval.c	VARVAL_d_fn	DT_BOOL	an independent descriptor->string coercion with its own DT_I/DT_R arms; it does NOT delegate to c_VARVAL_fn, so it owes its own True/False
src/runtime/string_ops.c	c_str_concat_d	DT_BOOL@descr_to_str	concatenation hands every non-DT_S/non-DT_DATA operand to descr_to_str; covered by delegation
src/runtime/string_ops.c	str_repeat_d	DT_BOOL@descr_to_str	string repetition stringifies its left operand through descr_to_str; covered by delegation
src/runtime/arithmetic.c	rt_num_arith_body	DT_BOOL@is_numeric_like	all arithmetic gates on is_numeric_like and then coerces with to_real/to_int, each of which carries the tag; covered by delegation
src/runtime/core/core.c	is_numeric_like	DT_BOOL	the gate every arithmetic operation passes through; without the tag here rt_num_arith_body returns FAILDESCR and Bool arithmetic yields nothing (ceo CEO-662)
src/runtime/string_ops.c	str_concat_fracdigit_d	-	Icon's `||` only: it rejects any operand failing core_icn_str_ok before coercing, and no Icon program can hold a Bool -- DT_BOOL is minted by the Raku lowering alone
